entityid,codigo,nombreplantafisica,regional,distrito,provincia,municipio,distritomunicipal,seccionmunicipal,barrios,direccion,latitud,longitud,cantidadcentros,matriculamatutina,matriculavespertina,matriculanocturna,matriculacompleta,matriculasemipre
48c7e73c-44af-4c04-b268-2ca51fde38c8,23021210,BATEY AB-4,05-SAN PEDRO DE MACORIS,0506-CONSUELO,SAN PEDRO DE MACORIS,CONSUELO,CONSUELO,ALEJANDRO BASS,BATEY AB-4,BATEY AB BATEY AB-4,18.547838254536767,-69.272886514663696,1,45,39,,,
89e1f496-3e83-478f-b35d-7338bc4452e4,4035611,BATEY ALGODON,01-BARAHONA,0103-BARAHONA,BARAHONA,FUNDACI�N,FUNDACI�N,LA ALTAGRACIA,BATEY ALGOD�N,BATEY AL BATEY ALGODON,18.286657660289265,-71.165898442268372,1,108,161,,,
e8ca1808-df77-4af9-bd6c-41fcb9f92c25,8020613,BATEY ALTAGRACIA,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,EL SEIBO,CAMPI�A,BATEY ALTAGRACIA,BATEY AL BATEY ALTAGRACIA,18.612077376410841,-69.040757417678833,1,,19,,,
37edbe9c-de23-4afb-92d6-358d95b2ef43,23018511,BATEY AMELIA,05-SAN PEDRO DE MACORIS,0506-CONSUELO,SAN PEDRO DE MACORIS,CONSUELO,CONSUELO,ALEJANDRO BASS,BATEY MARGARITA,BATEY AM BATEY AMELIA,18.552786648282883,-69.219561517238617,1,16,10,,,
67137447-da60-4d6e-ab79-47ce771c4f75,27006819,BATEY AMINA,09-MAO,0901-MAO,VALVERDE,MAO,AMINA (D. M.),AMINA,BATEY  AMINA,BATEY AM BATEY AMINA,19.532023974953102,-70.982137620449066,1,172,161,,,
7c94ebbc-c656-40bb-a7a4-239ea6822c22,23018115,BATEY ATILANO 1,05-SAN PEDRO DE MACORIS,0501-SAN PEDRO DE MACORIS ESTE,SAN PEDRO DE MACORIS,RAM�N SANTANA,RAM�N SANTANA,LOS LERENES,BATEY ATILANO I,BATEY AT BATEY ATILANO 1,18.552779019831469,-69.219566881656647,1,16,12,,,
a1a806ed-eac4-4d46-ab37-70af9b2992f3,23018219,BATEY ATILANO 2,05-SAN PEDRO DE MACORIS,0501-SAN PEDRO DE MACORIS ESTE,SAN PEDRO DE MACORIS,RAM�N SANTANA,RAM�N SANTANA,LOS LERENES,BATEY ATILANO II,BATEY AT BATEY ATILANO 2,18.596685278577439,-69.175436496734619,1,31,22,,,
97ae6afd-a03f-4785-8100-d0e470522c86,8003116,BATEY BEJUCAL,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,EL SEIBO,CAMPI�A,BATEY BEJUCAL,BATEY BE BATEY BEJUCAL,18.600086657979652,-69.101021289825439,1,54,10,,,
c04916d2-71ee-42e0-9743-b5c05f27995e,8012711,BATEY BRADOR 104,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,SANTA LUC�A (D. M.),SANTA LUC�A,BATEY BRADOR 104,BATEY BR BATEY BRADOR 104,18.653027000000002,-68.972506999999993,1,8,11,,,
e4181a0e-8516-4b69-a268-c7199269833d,14023019,BATEY BRUGAL,14-NAGUA,1403-RIO SAN JUAN,MARIA TRINIDAD SANCHEZ,R�O SAN JUAN,R�O SAN JUAN,LOS CACAOS,BATEY BRUGAL,BATEY BR BATEY BRUGAL,19.468150016727819,-70.110642313957214,1,12,,,,
ea93a302-65ac-4371-a1a7-1ca60b0bec55,23018813,BATEY CABEZA DE TORO,05-SAN PEDRO DE MACORIS,0501-SAN PEDRO DE MACORIS ESTE,SAN PEDRO DE MACORIS,RAM�N SANTANA,RAM�N SANTANA,MAGAR�N,BATEY CABEZA DE TORO,BATEY CA BATEY CABEZA DE TORO,18.540618835039282,-69.136230647563934,1,62,31,,,
988ef7b7-4ef9-48c7-9bf7-dc242ad563e8,12008216,BATEY CACATA,05-SAN PEDRO DE MACORIS,0503-LA ROMANA,LA ROMANA,LA ROMANA,LA ROMANA,ALET�N,BATEY CACATA,BATEY CA BATEY CACATA,18.481672150360943,-68.924848437309265,1,243,176,,,
321536be-a982-4f55-8ab0-c8e393190f2e,23021012,BATEY CACHENA,05-SAN PEDRO DE MACORIS,0506-CONSUELO,SAN PEDRO DE MACORIS,CONSUELO,CONSUELO,LAS CALLAS,LAS CALLAS,BATEY CA BATEY CACHENA,18.597890259321414,-69.26855742931366,1,109,76,,,
0b6581b1-45a5-4fea-a953-2f5651580bc0,23014719,BATEY CAIMITO,05-SAN PEDRO DE MACORIS,0507-SAN JOSE DE LOS LLANOS,SAN PEDRO DE MACORIS,LOS LLANOS,EL PUERTO (D. M.),PLUMITA,BATEY CAIMITO,BATEY CA BATEY CAIMITO,18.703635980958346,-69.438005983829498,1,18,12,,,
598d71c1-d94c-44fd-ac5d-a6980ccaf3bf,12010014,BATEY CAMPI�A,05-SAN PEDRO DE MACORIS,0503-LA ROMANA,LA ROMANA,GUAYMATE,GUAYMATE,HIG�ERAL,BATEY CAMPI�A,BATEY CA BATEY CAMPI�A,18.520998477234148,-69.048256874084473,1,41,25,,,
c6207fc4-4df0-427a-b1a6-2d365441a824,23018917,BATEY CAMPI�A,05-SAN PEDRO DE MACORIS,0501-SAN PEDRO DE MACORIS ESTE,SAN PEDRO DE MACORIS,RAM�N SANTANA,RAM�N SANTANA,MAGAR�N,BATEY CAMPI�A,BATEY CA BATEY CAMPI�A,18.57486195821717,-69.12210613489151,1,105,67,,,
2502b414-c586-42ec-96fb-dd7b5bfef632,23022913,BATEY CANUTILLO,05-SAN PEDRO DE MACORIS,0508-QUISQUEYA,SAN PEDRO DE MACORIS,LOS LLANOS,LOS LLANOS,LOS J�BAROS,BATEY CANUTILLO,BATEY CA BATEY CANUTILLO,18.589717068713405,-69.413034617900848,1,103,39,,,
6c61632e-bc2c-472c-b237-8b5b267f1ccc,12007919,BATEY CENTRAL,05-SAN PEDRO DE MACORIS,0503-LA ROMANA,LA ROMANA,LA ROMANA,LA ROMANA,LA ROMANA (ZONA URBANA),CENTRAL ROMANA,OBRERO   BATEY CENTRAL,18.417269520904021,-68.968890309333801,1,222,178,,,
f6fa745a-af1e-41bb-bbfe-0a638aa6799d,23015110,BATEY CONSUELITO,05-SAN PEDRO DE MACORIS,0507-SAN JOSE DE LOS LLANOS,SAN PEDRO DE MACORIS,LOS LLANOS,LOS LLANOS,LOS J�BAROS,BATEY CONSUELITO,C/ 4  S/ BATEY CONSUELITO,18.624105376106936,-69.450743794441223,1,13,14,,,
cbbccd22-90f0-4dfd-bcbc-9fc87a471d12,8004413,BATEY COPEY,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,EL SEIBO,CAMPI�A,BATEY COPEY,BATEY CO BATEY COPEY,18.589124719595443,-69.037034511566162,1,27,28,,,
